127.0.0.1 - - [19/Apr/2016:10:25:28 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:37 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:37 +0200] "GET /Team11JSF/faces/javax.faces.resource/css/teststyle.css;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5 HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:37 +0200] "GET /Team11JSF/faces/javax.faces.resource/primefaces.css;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5?ln=primefaces&v=5.2 HTTP/1.1" 200 63503
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:38 +0200] "GET /Team11JSF/faces/javax.faces.resource/jquery/jquery.js;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:38 +0200] "GET /Team11JSF/faces/javax.faces.resource/primefaces.js;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:38 +0200] "GET /Team11JSF/resources/images/logo.jpg;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5 HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:38 +0200] "GET /Team11JSF/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:40 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:49 +0200] "POST /Team11JSF/faces/pages/site.xhtml;jsessionid=795A8C4FFCBFDFCF8E21D515223379D5 HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:49 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:49 +0200] "GET /Team11JSF/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:49 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:52 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:52 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:25:53 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:00 +0200] "POST /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:00 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:00 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:32 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:32 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:33 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:38 +0200] "POST /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:38 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:38 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:39 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:39 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:26:39 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:29 +0200] "POST /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:29 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:29 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:32 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:32 +0200] "GET /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:32 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:39 +0200] "POST /Team11JSF/faces/pages/site.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:39 +0200] "GET /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 8881
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:39 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "POST /Team11JSF/faces/pages/books/books-view.xhtml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "GET /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:50 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "POST /Team11JSF/faces/pages/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "GET /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 200 9054
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:51 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:53 +0200] "POST /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:54 +0200] "POST /Team11JSF/faces/pages/books/books-view-logged.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:55 +0200] "GET /Team11JSF/faces/pages/books/book-update.xhtml HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:27:55 +0200] "GET /Team11JSF/faces/javax.faces.resource/image/logo.jpeg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:03 +0200] "POST /Team11JSF/faces/pages/books/book-update.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2016:10:28:03 +0200] "GET /Team11JSF/faces/pages/impression/impression-create.xhtml HTTP/1.1" 200 4621
